feature,iv,bins,kind
EXT_SOURCE_3,0.3267071677256845,19,numeric
EXT_SOURCE_2,0.31582526532224453,20,numeric
EXT_SOURCE_1,0.1468174072968093,11,numeric
EMPLOYED_YEARS,0.11379007980715324,15,numeric
AGE_YEARS,0.08543878807965585,18,numeric
GOODS_CREDIT_RATIO,0.07481148143459687,8,numeric
NAME_INCOME_TYPE,0.05505995397511976,6,categorical
NAME_EDUCATION_TYPE,0.05102102851051651,6,categorical
PHONE_CHANGE_YEARS,0.0459597978766704,13,numeric
ID_PUBLISH_YEARS,0.04119323728282503,16,numeric
CREDIT_TERM,0.04039716554764673,5,numeric
AMT_CREDIT,0.034531382968758476,6,numeric
REGION_POPULATION_RELATIVE,0.02991100936849965,9,numeric
NAME_FAMILY_STATUS,0.022152085154934092,7,categorical
NAME_CONTRACT_TYPE,0.013845921298762574,4,categorical
AMT_INCOME_TOTAL,0.010209438935544896,6,numeric
AMT_ANNUITY,0.007816676952011468,5,numeric
ANNUITY_INCOME_RATIO,0.007004689192525583,11,numeric
CREDIT_INCOME_RATIO,0.003594216134097326,6,numeric
