feature,bins,window_size,mean,p50,p95,max,share_over_warn,share_over_alert
EXT_SOURCE_1,11,100,0.13027743747661005,0.10116110307455554,0.357325965908194,0.6576213305387232,0.516,0.112
EXT_SOURCE_1,11,200,0.05375722119818003,0.04959407158772271,0.09785991917239484,0.18080764133323965,0.048,0.0
EXT_SOURCE_1,11,500,0.02030217634241641,0.01850633660023494,0.03823496507505239,0.05711601381639512,0.0,0.0
EXT_SOURCE_1,11,1000,0.00993337946627569,0.009232869667683576,0.018155565935473312,0.0290136622788159,0.0,0.0
EXT_SOURCE_1,11,2000,0.005162661948279922,0.004773362448528554,0.0096534574360724,0.014062077138424472,0.0,0.0
EXT_SOURCE_1,11,5000,0.0020621293208700504,0.0019172069345289307,0.003846516484948704,0.005838865499005329,0.0,0.0
EXT_SOURCE_2,20,100,0.22918372696122705,0.20195415078751303,0.4864913384064155,0.8004984102301127,0.966,0.27
EXT_SOURCE_2,20,200,0.09984074292412527,0.09634553185767755,0.15927211891971677,0.25453374089602715,0.444,0.002
EXT_SOURCE_2,20,500,0.039986459034319716,0.037924937156422686,0.06343280186809896,0.09167632431702193,0.0,0.0
EXT_SOURCE_2,20,1000,0.01918925905990907,0.01839269914242833,0.03034820866555627,0.041410040596897665,0.0,0.0
EXT_SOURCE_2,20,2000,0.0095073481995261,0.009289726410844783,0.01474223356595718,0.02238023491129297,0.0,0.0
EXT_SOURCE_2,20,5000,0.0037171375036414685,0.003562913971003693,0.0058095671027621415,0.010509133176008422,0.0,0.0
EXT_SOURCE_3,19,100,0.24290709791642512,0.2048857081834094,0.48675435521563054,0.8431878512587143,0.95,0.34
EXT_SOURCE_3,19,200,0.09433792248211986,0.08917703800087352,0.1559595950832654,0.32806216620132594,0.368,0.008
EXT_SOURCE_3,19,500,0.03693624089912613,0.0351514982599176,0.060597186528879875,0.08409731230540608,0.0,0.0
EXT_SOURCE_3,19,1000,0.018450350666629967,0.017465565605314336,0.030095396195103968,0.04792430224091133,0.0,0.0
EXT_SOURCE_3,19,2000,0.009310556390242631,0.00885255294215927,0.014425146710277755,0.021571866125542263,0.0,0.0
EXT_SOURCE_3,19,5000,0.0036385302391118363,0.0035487033948576234,0.006010999605821291,0.0073827935144624105,0.0,0.0
AGE_YEARS,18,100,0.20337140874945606,0.17217785870773814,0.4685867843142442,0.7727789897278944,0.882,0.21
AGE_YEARS,18,200,0.08536658903629844,0.07901745410152092,0.15042003337712218,0.30583768697856917,0.28,0.004
AGE_YEARS,18,500,0.032569643405240455,0.03040609205655627,0.05406017738756847,0.096996627355732,0.0,0.0
AGE_YEARS,18,1000,0.016131549501071984,0.015302704678699798,0.027367543925805777,0.03657389893862262,0.0,0.0
AGE_YEARS,18,2000,0.008226003433281424,0.008000966291931696,0.013632957651011511,0.019317056310915744,0.0,0.0
AGE_YEARS,18,5000,0.003229254264772961,0.003128473359892871,0.005263666141824373,0.007366167677079376,0.0,0.0
EMPLOYED_YEARS,15,100,0.17882161981730985,0.14372094465349125,0.39710681955207083,0.672784825473705,0.81,0.168
EMPLOYED_YEARS,15,200,0.07797756836196458,0.07100189582311746,0.13906488666706981,0.3578522127133399,0.216,0.004
EMPLOYED_YEARS,15,500,0.029315416468544433,0.028084141691502758,0.04760686172603664,0.07998547934440492,0.0,0.0
EMPLOYED_YEARS,15,1000,0.014410530821893744,0.013502229046794966,0.024356844287265176,0.042193070812397385,0.0,0.0
EMPLOYED_YEARS,15,2000,0.006932225066506689,0.006587263150145165,0.011701985809664094,0.016240395300723593,0.0,0.0
EMPLOYED_YEARS,15,5000,0.0027649841992844785,0.002631225121887581,0.004629843845533874,0.007081309789199379,0.0,0.0
ID_PUBLISH_YEARS,16,100,0.16968249828887133,0.1484424246944261,0.42025599475016034,0.7116930250933099,0.834,0.102
ID_PUBLISH_YEARS,16,200,0.07233845840521996,0.06796863828117024,0.12785801912505648,0.18759849806065573,0.168,0.0
ID_PUBLISH_YEARS,16,500,0.028107068105322916,0.02705478997944084,0.04720162401167942,0.0658265967768481,0.0,0.0
ID_PUBLISH_YEARS,16,1000,0.014137138412694672,0.01326759611873782,0.025206089652037963,0.03906755118175689,0.0,0.0
ID_PUBLISH_YEARS,16,2000,0.006963745393319495,0.006809097196063782,0.011405179186473328,0.015451566424328923,0.0,0.0
ID_PUBLISH_YEARS,16,5000,0.002769060078259755,0.0026108526924479595,0.004666577535979822,0.006357463338195153,0.0,0.0
PHONE_CHANGE_YEARS,13,100,0.13802592159645846,0.11568669411107071,0.3820805169312202,0.5314223909755682,0.624,0.082
PHONE_CHANGE_YEARS,13,200,0.06045025032997839,0.055314622349480404,0.10736509189621186,0.3740539113990741,0.082,0.002
PHONE_CHANGE_YEARS,13,500,0.022693321175115293,0.021373195298672196,0.040558577730381504,0.07471842275314285,0.0,0.0
PHONE_CHANGE_YEARS,13,1000,0.011101403902149792,0.010186803774661064,0.020209585657687115,0.03184767330501925,0.0,0.0
PHONE_CHANGE_YEARS,13,2000,0.005423353358472701,0.00510910161653162,0.009423518279946948,0.015099064543383636,0.0,0.0
PHONE_CHANGE_YEARS,13,5000,0.002181687702862889,0.0020357537980369824,0.0039576548875858595,0.005852357481205647,0.0,0.0
AMT_CREDIT,6,100,0.04780037752258809,0.03654003993537438,0.11334302295993924,0.33669748300665675,0.084,0.016
AMT_CREDIT,6,200,0.01960888101814213,0.01683403996188889,0.04448994303675065,0.1510804473977115,0.004,0.0
AMT_CREDIT,6,500,0.007931646208923266,0.006801592282389583,0.018328760851749004,0.03252035843429235,0.0,0.0
AMT_CREDIT,6,1000,0.003968174690806463,0.0032469221807944868,0.009626625117271283,0.01566686622112206,0.0,0.0
AMT_CREDIT,6,2000,0.0020043529862791764,0.0016096651081628983,0.00495645603322692,0.01002940283320659,0.0,0.0
AMT_CREDIT,6,5000,0.0008027164367254841,0.0006664294097286005,0.0019298524658718694,0.003423730996371015,0.0,0.0
REGION_POPULATION_RELATIVE,9,100,0.08215618359825967,0.06720672043210116,0.1832524335070053,0.44625765523453453,0.244,0.038
REGION_POPULATION_RELATIVE,9,200,0.03532302247494681,0.03224019581080526,0.07103049819056831,0.11831677373656668,0.008,0.0
REGION_POPULATION_RELATIVE,9,500,0.013671512235707863,0.012300380235832211,0.027543615469398968,0.041946938701703844,0.0,0.0
REGION_POPULATION_RELATIVE,9,1000,0.006792602652946678,0.006090355971677426,0.014203918048126846,0.025337951645023886,0.0,0.0
REGION_POPULATION_RELATIVE,9,2000,0.0035157037353136158,0.0031408400386836667,0.007348715064934613,0.011342657786078514,0.0,0.0
REGION_POPULATION_RELATIVE,9,5000,0.0014635512807355303,0.0012869204605498211,0.00310475671458594,0.0059326290674574155,0.0,0.0
CREDIT_TERM,5,100,0.03500304246849836,0.0260399913218876,0.0894740134323365,0.4178626750923585,0.032,0.012
CREDIT_TERM,5,200,0.015370551649566683,0.011995568233110394,0.03993218869024562,0.08409745689195687,0.0,0.0
CREDIT_TERM,5,500,0.0059622922103640865,0.004620723708714374,0.01613685434288735,0.028910882657627437,0.0,0.0
CREDIT_TERM,5,1000,0.0031782880531876713,0.002497892793819377,0.007846927585734957,0.016677445404897184,0.0,0.0
CREDIT_TERM,5,2000,0.0015871365791412376,0.0013283148703153035,0.00422877488190714,0.007219380370842731,0.0,0.0
CREDIT_TERM,5,5000,0.0006220181949902594,0.000495818621313635,0.0016219659809920091,0.003235861335656024,0.0,0.0
GOODS_CREDIT_RATIO,8,100,0.07066820731437845,0.05628557086508082,0.19449494411234142,0.322251544800529,0.19,0.01
GOODS_CREDIT_RATIO,8,200,0.032958184249778,0.03051609828170114,0.06562091554795714,0.11456490421449156,0.01,0.0
GOODS_CREDIT_RATIO,8,500,0.013721985659459247,0.012376499036898107,0.02776284624842841,0.04281754368196562,0.0,0.0
GOODS_CREDIT_RATIO,8,1000,0.0068739323264741335,0.006153416060874805,0.013510770658696563,0.019077176227386673,0.0,0.0
GOODS_CREDIT_RATIO,8,2000,0.003485423076159593,0.0032110680688303157,0.007032250342924018,0.011232103031139525,0.0,0.0
GOODS_CREDIT_RATIO,8,5000,0.0014300321783022722,0.0012877653748772347,0.0029101157808445804,0.0051868854762034886,0.0,0.0
NAME_EDUCATION_TYPE,6,100,0.05079606667453547,0.03875999440718457,0.1212904650697186,0.2966651093908798,0.082,0.012
NAME_EDUCATION_TYPE,6,200,0.020288683147019947,0.013248719911572893,0.06626634009520065,0.19513242430579072,0.008,0.0
NAME_EDUCATION_TYPE,6,500,0.007356369607272553,0.00607015688856095,0.018651213081387064,0.03643282553801143,0.0,0.0
NAME_EDUCATION_TYPE,6,1000,0.0038661823656576354,0.003140713391674845,0.00915429898425459,0.020194914925540056,0.0,0.0
NAME_EDUCATION_TYPE,6,2000,0.0019026313887081576,0.001644746889007076,0.004308781453191217,0.007599119083955382,0.0,0.0
NAME_EDUCATION_TYPE,6,5000,0.0008396958466891787,0.000726200738788472,0.001942162058443213,0.0038628654504574505,0.0,0.0
NAME_INCOME_TYPE,6,100,0.034289750372160546,0.02525886264150732,0.09533901006262088,0.2085489074641367,0.044,0.0
NAME_INCOME_TYPE,6,200,0.01656049011694342,0.012730164497643068,0.043133793265161376,0.1094319482243653,0.002,0.0
NAME_INCOME_TYPE,6,500,0.006483675882877403,0.0052758779115418715,0.016496082380252353,0.034992791217642566,0.0,0.0
NAME_INCOME_TYPE,6,1000,0.0035029074655452907,0.0028532210410792272,0.008797433157247358,0.016492184263873732,0.0,0.0
NAME_INCOME_TYPE,6,2000,0.0016971189394335072,0.0013424722748503338,0.004254354810439693,0.008129650962168378,0.0,0.0
NAME_INCOME_TYPE,6,5000,0.000683949718849745,0.0005698754399424105,0.001627924466009736,0.0035266085166980434,0.0,0.0
NAME_FAMILY_STATUS,7,100,0.045401569164172983,0.03620551849418942,0.10846656300103308,0.3545285321557836,0.068,0.006
NAME_FAMILY_STATUS,7,200,0.021055509075143298,0.017541274238881566,0.05427481024839709,0.10417585424652605,0.002,0.0
NAME_FAMILY_STATUS,7,500,0.008236897581141208,0.007136069159109196,0.01882830217147112,0.032623907867058544,0.0,0.0
NAME_FAMILY_STATUS,7,1000,0.003927313800019427,0.003181732101252978,0.009406127510852126,0.019628400231506037,0.0,0.0
NAME_FAMILY_STATUS,7,2000,0.001987782375146411,0.0016672054094924644,0.004644553183833886,0.011148822056589021,0.0,0.0
NAME_FAMILY_STATUS,7,5000,0.0007736160878152182,0.0006088865770570568,0.0018462463164440929,0.0032046926509729113,0.0,0.0
score,10,100,0.09699875861686158,0.08546001603872022,0.1901178023682513,0.3843330924640019,0.376,0.018
