window_id,computed_at,window_start_id,window_end_id,n_records,mean_score,mean_probability,approval_rate,decline_rate,band_counts,first_scored_at,last_scored_at
1,2026-08-28T07:08:31.539+00:00,1,2000,2000,565.868,0.082491,0.693,0.1,"{""decline"":200,""refer"":414,""approve"":1386}",2026-08-28T07:06:11.417+00:00,2026-08-28T07:06:18.348+00:00
2,2026-08-28T07:08:31.559+00:00,2001,4000,2000,566.103,0.081505,0.697,0.0985,"{""decline"":197,""refer"":409,""approve"":1394}",2026-08-28T07:06:18.352+00:00,2026-08-28T07:06:25.333+00:00
3,2026-08-28T07:08:31.580+00:00,4001,6000,2000,566.646,0.081694,0.692,0.097,"{""decline"":194,""refer"":422,""approve"":1384}",2026-08-28T07:06:25.337+00:00,2026-08-28T07:06:32.321+00:00
4,2026-08-28T07:08:31.599+00:00,6001,8000,2000,566.307,0.081239,0.6985,0.0895,"{""decline"":179,""refer"":424,""approve"":1397}",2026-08-28T07:06:32.326+00:00,2026-08-28T07:06:39.281+00:00
5,2026-08-28T07:08:31.617+00:00,8001,10000,2000,566.392,0.082965,0.6995,0.1045,"{""decline"":209,""refer"":392,""approve"":1399}",2026-08-28T07:06:39.285+00:00,2026-08-28T07:06:46.253+00:00
6,2026-08-28T07:08:31.637+00:00,10001,12000,2000,566.97,0.079874,0.7,0.0915,"{""decline"":183,""refer"":417,""approve"":1400}",2026-08-28T07:06:46.257+00:00,2026-08-28T07:06:53.228+00:00
7,2026-08-28T07:08:31.655+00:00,12001,14000,2000,566.726,0.079999,0.6935,0.095,"{""decline"":190,""refer"":423,""approve"":1387}",2026-08-28T07:06:53.232+00:00,2026-08-28T07:07:00.224+00:00
8,2026-08-28T07:08:31.674+00:00,14001,16000,2000,566.528,0.081698,0.688,0.1015,"{""decline"":203,""refer"":421,""approve"":1376}",2026-08-28T07:07:00.229+00:00,2026-08-28T07:07:07.307+00:00
9,2026-08-28T07:08:31.694+00:00,16001,18000,2000,564.226,0.086472,0.663,0.12,"{""decline"":240,""refer"":434,""approve"":1326}",2026-08-28T07:07:07.311+00:00,2026-08-28T07:07:14.376+00:00
10,2026-08-28T07:08:31.713+00:00,18001,20000,2000,558.467,0.104275,0.5775,0.177,"{""decline"":354,""refer"":491,""approve"":1155}",2026-08-28T07:07:14.381+00:00,2026-08-28T07:07:21.466+00:00
11,2026-08-28T07:08:31.731+00:00,20001,22000,2000,551.735,0.12696,0.4715,0.256,"{""decline"":512,""refer"":545,""approve"":943}",2026-08-28T07:07:21.471+00:00,2026-08-28T07:07:28.547+00:00
12,2026-08-28T07:08:31.742+00:00,22001,24000,2000,546.935,0.14315,0.3985,0.3005,"{""decline"":601,""refer"":602,""approve"":797}",2026-08-28T07:07:28.551+00:00,2026-08-28T07:07:35.570+00:00
13,2026-08-28T07:08:31.753+00:00,24001,26000,2000,544.597,0.153796,0.369,0.3515,"{""decline"":703,""refer"":559,""approve"":738}",2026-08-28T07:07:35.574+00:00,2026-08-28T07:07:42.569+00:00
14,2026-08-28T07:08:31.764+00:00,26001,28000,2000,545.428,0.14963,0.3875,0.3315,"{""decline"":663,""refer"":562,""approve"":775}",2026-08-28T07:07:42.573+00:00,2026-08-28T07:07:49.529+00:00
15,2026-08-28T07:08:31.775+00:00,28001,30000,2000,545.917,0.14843,0.3905,0.333,"{""decline"":666,""refer"":553,""approve"":781}",2026-08-28T07:07:49.534+00:00,2026-08-28T07:07:56.469+00:00
16,2026-08-28T07:08:31.786+00:00,30001,32000,2000,545.473,0.148278,0.389,0.3255,"{""decline"":651,""refer"":571,""approve"":778}",2026-08-28T07:07:56.474+00:00,2026-08-28T07:08:03.477+00:00
17,2026-08-28T07:08:31.797+00:00,32001,34000,2000,545.201,0.150232,0.3805,0.3265,"{""decline"":653,""refer"":586,""approve"":761}",2026-08-28T07:08:03.482+00:00,2026-08-28T07:08:10.596+00:00
18,2026-08-28T07:08:31.808+00:00,34001,36000,2000,546.124,0.147167,0.404,0.313,"{""decline"":626,""refer"":566,""approve"":808}",2026-08-28T07:08:10.601+00:00,2026-08-28T07:08:17.574+00:00
19,2026-08-28T07:08:31.820+00:00,36001,38000,2000,545.792,0.148051,0.3935,0.313,"{""decline"":626,""refer"":587,""approve"":787}",2026-08-28T07:08:17.578+00:00,2026-08-28T07:08:24.489+00:00
20,2026-08-28T07:08:31.831+00:00,38001,40000,2000,544.865,0.151262,0.368,0.3435,"{""decline"":687,""refer"":577,""approve"":736}",2026-08-28T07:08:24.494+00:00,2026-08-28T07:08:31.524+00:00
